Theta1,Theta1_dot, Theta2, Theta2_dot
8.715245,6.531547,11.417236,12.038818
8.748090,6.557792,11.477835,11.994715
8.781067,6.581530,11.538212,11.953357
8.814164,6.602854,11.598382,11.914743
8.847369,6.621851,11.658358,11.878864
8.880670,6.638605,11.718154,11.845712
8.914056,6.653197,11.777783,11.815273
8.947517,6.665702,11.837258,11.787528
8.981041,6.676192,11.896594,11.762459
9.014619,6.684733,11.955803,11.740039
9.048241,6.691386,12.014900,11.720244
9.081897,6.696207,12.073896,11.703042
9.115579,6.699249,12.132805,11.688402
9.149278,6.700556,12.191640,11.676290
9.182985,6.700169,12.250414,11.666670
9.216691,6.698124,12.309138,11.659505
9.250388,6.694450,12.367826,11.654757
9.284068,6.689172,12.426488,11.652385
9.317724,6.682307,12.485138,11.652350
9.351346,6.673871,12.543787,11.654613
9.384927,6.663871,12.602447,11.659131
9.418460,6.652310,12.661128,11.665865
9.451936,6.639186,12.719842,11.674775
9.485347,6.624491,12.778599,11.685821
9.518687,6.608213,12.837412,11.698963
9.551945,6.590335,12.896289,11.714163
9.585115,6.570835,12.955241,11.731383
9.618189,6.549687,13.014280,11.750586
9.651157,6.526859,13.073413,11.771736
9.684012,6.502318,13.132652,11.794797
9.716745,6.476023,13.192006,11.819738
9.749346,6.447933,13.251485,11.846525
9.781807,6.418001,13.311097,11.875128
9.814119,6.386178,13.370852,11.905517
9.846271,6.352411,13.430759,11.937668
9.878254,6.316645,13.490828,11.971555
9.910058,6.278823,13.551065,12.007157
9.941672,6.238886,13.611482,12.044456
9.973086,6.196771,13.672085,12.083437
10.004288,6.152416,13.732884,12.124092
10.035267,6.105758,13.793887,12.166415
10.066012,6.056732,13.855102,12.210407
10.096509,6.005273,13.916539,12.256079
10.126748,5.951318,13.978206,12.303448
10.156715,5.894803,14.040110,12.352540
10.186397,5.835665,14.102262,12.403394
10.215781,5.773845,14.164671,12.456063
10.244853,5.709283,14.227345,12.510611
10.273600,5.641925,14.290294,12.567124
10.302006,5.571719,14.353529,12.625704
